stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,key_resp.corr,tilt,stair.response
0,2,20,27.0637069,27.621238,27.621238,27.6396019,27.9230455,right,1,20,1
1,2,18,28.5237567,29.0079386,29.0079386,29.0247624,29.3080055,right,1,18,1
2,2,16,29.8919548,30.3928558,30.3928558,30.3928558,30.6928304,right,1,16,1
3,2,14,31.0934201,31.5776137,31.5776137,31.5942687,31.8774695,right,1,14,1
4,2,12,32.2278017,32.7124195,32.7124195,32.7286891,33.0118221,right,1,12,1
5,2,10,33.3625176,33.8631497,33.8631497,33.8631497,34.163506,left,1,-10,1
6,2,8,34.4970629,34.9814049,34.9814049,34.9979796,35.2811841,right,1,8,1
7,2,6,35.6151582,36.0994155,36.0994155,36.1158788,36.3990761,left,1,-6,1
8,2,4,36.6161948,37.1003683,37.1003683,37.1168337,37.400109,right,1,4,1
9,2,2,37.6673904,38.1679565,38.1679565,38.1679565,38.4679572,right,1,2,1
10,2,1,39.0018649,39.4864157,39.4864157,39.5028757,39.7862478,left,1,-1,1
11,2,1,40.0197888,40.5039283,40.5039283,40.520645,40.8041074,left,1,-1,1
12,2,1,41.2045105,41.6885801,41.6885801,41.7052997,41.9887039,right,1,1,1
13,2,1,42.2223229,42.7069029,42.7069029,42.7231781,43.0066049,right,1,1,1
14,2,1,43.4903934,43.9745408,43.9745408,43.990908,44.2744685,right,1,1,1
15,2,1,44.5913114,45.0756327,45.0756327,45.092436,45.3756092,right,1,1,1
16,2,1,46.0931707,46.5939948,46.5939948,46.5939948,46.8939872,left,1,-1,1
17,2,1,47.2109008,47.7127567,47.7127567,47.7127567,48.0116864,right,1,1,1
18,2,1,48.3624358,48.8464392,48.8464392,48.8628873,49.1463254,right,1,1,1
19,2,1,49.5305043,50.0145382,50.0145382,50.0308889,50.3141625,right,1,1,1
20,2,1,50.831695,51.3163712,51.3163712,51.3323456,51.615794,right,1,1,1
21,2,1,52.0331252,52.5171219,52.5171219,52.5338173,52.8173014,left,1,-1,1
22,2,1,53.1677496,53.6684097,53.6684097,53.6684097,53.9682761,left,1,-1,1
23,2,1,54.3357449,54.8196867,54.8196867,54.8367319,55.1196197,right,1,1,1
24,2,1,55.503498,55.9879331,55.9879331,56.0042674,56.287784,right,1,1,1
25,2,1,56.7549392,57.2557238,57.2557238,57.2557238,57.55563,left,1,-1,1
26,2,1,57.9953103,58.4739696,58.4739696,58.5076983,58.7734531,left,1,-1,1
27,2,1,59.1909913,59.6751135,59.6751135,59.6918827,59.9749549,right,1,1,1
28,2,1,60.292421,60.7929739,60.7929739,60.7929739,61.0930022,left,1,-1,1
29,2,1,61.4934385,61.9782172,61.9782172,61.99435,62.2775266,left,1,-1,1
30,2,1,62.6449611,63.1290432,63.1290432,63.1453826,63.4286107,right,1,1,1
31,2,1,63.7795715,64.28029,64.28029,64.28029,64.5802565,right,1,1,1
32,2,1,65.8148107,66.2992823,66.2992823,66.3157515,66.6136677,left,1,-1,1
33,1,1,67.0329115,67.5172865,67.5172865,67.5336687,67.8167603,right,0,1,0
34,1,2,68.4515489,68.9521037,68.9521037,68.9521037,69.2518612,right,1,2,1
35,1,2,69.635856,70.1366209,70.1366209,70.1366209,70.4362945,right,1,2,1
36,1,2,70.6036922,71.0876515,71.0876515,71.1044252,71.3876586,left,1,-2,1
37,1,1,71.6379176,72.1221092,72.1221092,72.1388928,72.4219929,right,1,1,1
38,1,1,72.85672,73.3567836,73.3567836,73.3567836,73.6574273,right,1,1,1
39,1,1,73.9573639,74.45795,74.45795,74.45795,74.7579415,right,1,1,1
40,1,1,75.2256141,75.7262699,75.7262699,75.7262699,76.0258106,left,1,-1,1
41,1,1,76.4764748,76.9611355,76.9611355,76.9775972,77.2606535,left,1,-1,1
42,0.5,1,77.8114587,78.2954963,78.2954963,78.3120246,78.5958379,right,0,1,0
43,0.5,1.5,84.7357758,85.2201582,85.2201582,85.2364467,85.519759,right,1,1.5,1
44,0.5,1.5,86.6213474,87.1051158,87.1051158,87.1218932,87.4048886,right,1,1.5,1
45,0.5,1.5,87.8389865,88.3234637,88.3234637,88.3401423,88.6232821,right,1,1.5,1
46,0.5,1,88.9737232,89.4581508,89.4581508,89.4743577,89.7577456,right,1,1,1
47,0.5,1,90.2252865,90.7092128,90.7092128,90.7258424,91.0089964,left,1,-1,1
48,0.5,1,91.3763301,91.8772483,91.8772483,91.8772483,92.1770794,left,1,-1,1
49,0.5,1,92.5780837,93.0619958,93.0619958,93.0784484,93.3617392,right,0,1,0
